worker_id,platform,city_tier,avg_monthly_income,income_stability,income_velocity,working_hours,order_completion,platform_rating,fuel_ratio,expense_ratio,savings_ratio,gig_tenure_months,failed_autopays,credit_score,recommended_loan,risk_category,default_probability
GIG-11525,Swiggy,Tier 2,21659.02,0.635,10.02,44,0.838,4.36,0.213,0.598,0.134,10,0,644,51000,Moderate Risk,0.0873
GIG-11526,Swiggy,Tier 2,38540.44,0.749,6.01,50,0.862,4.69,0.278,0.397,0.254,15,0,721,102000,Moderate Risk,0.0697
GIG-11527,Ola,Tier 2,26295.09,0.124,6.84,36,0.923,4.51,0.311,0.5,0.087,56,0,591,57000,High Risk,0.2674
GIG-11528,Ola,Tier 2,38470.44,0.776,8.19,60,0.833,3.66,0.39,0.657,0.02,48,1,595,84000,High Risk,0.2978
GIG-11529,Zepto,Tier 2,23358.98,0.524,-6.48,32,0.886,3.92,0.253,0.447,0.176,13,0,589,50000,High Risk,0.2151
GIG-11530,Zomato,Tier 3,32876.86,0.735,8.46,37,0.915,4.84,0.154,0.426,0.361,34,0,727,88000,Moderate Risk,0.1178
GIG-11531,Ola,Tier 3,28683.51,0.544,-0.07,52,0.791,3.69,0.303,0.543,0.078,33,0,633,67000,High Risk,0.3006
GIG-11532,Blinkit,Tier 1,31412.18,0.832,2.58,26,0.803,3.69,0.259,0.592,0.02,3,0,623,72000,High Risk,0.1886
GIG-11533,Zomato,Tier 3,23906.45,0.525,-4.22,51,0.887,4.16,0.247,0.517,0.088,8,1,554,49000,High Risk,0.2784
GIG-11534,Swiggy,Tier 3,14830.58,0.543,4.39,56,0.875,4.66,0.148,0.653,0.082,45,1,568,31000,High Risk,0.1687
GIG-11535,Porter,Tier 1,29634.04,0.439,-3.72,50,0.88,4.19,0.268,0.514,0.165,8,0,639,69000,High Risk,0.3131
GIG-11536,Swiggy,Tier 3,27482.73,0.131,-3.0,26,0.918,3.9,0.135,0.449,0.28,49,0,584,59000,High Risk,0.2052
GIG-11537,Swiggy,Tier 2,32322.99,0.895,13.21,54,0.789,4.69,0.28,0.457,0.159,44,0,717,85000,Moderate Risk,0.0868
GIG-11538,Ola,Tier 2,19077.45,0.288,13.25,42,0.823,4.12,0.213,0.615,0.117,21,0,575,40000,High Risk,0.2044
GIG-11539,Urban Company,Tier 2,29704.72,0.221,-11.34,48,0.845,4.47,0.165,0.547,0.153,6,0,602,66000,High Risk,0.2619
GIG-11540,Swiggy,Tier 1,15199.35,0.29,8.43,52,0.858,3.78,0.365,0.541,0.02,58,0,541,30000,Very High Risk,0.3905
GIG-11541,Zomato,Tier 2,36081.05,0.595,3.16,47,0.914,4.8,0.13,0.632,0.147,26,0,703,93000,Moderate Risk,0.0803
GIG-11542,Blinkit,Tier 2,20369.0,0.506,4.93,56,0.857,4.48,0.222,0.439,0.216,50,0,639,48000,High Risk,0.3111
GIG-11543,Swiggy,Tier 1,23639.78,0.291,-5.88,52,0.851,3.9,0.375,0.458,0.046,57,0,558,48000,High Risk,0.3012
GIG-11544,Zomato,Tier 1,14456.74,0.36,26.38,36,0.838,4.2,0.323,0.672,0.02,57,0,610,32000,High Risk,0.1634
GIG-11545,Uber,Tier 3,25464.74,0.511,0.37,60,0.906,3.53,0.412,0.419,0.094,44,0,595,56000,High Risk,0.2584
GIG-11546,Uber,Tier 2,23563.38,0.502,-1.19,40,0.818,4.69,0.294,0.682,0.02,25,0,594,51000,High Risk,0.3039
GIG-11547,Porter,Tier 3,32820.28,0.973,13.89,57,0.794,4.18,0.319,0.418,0.182,20,0,728,88000,Moderate Risk,0.0828
GIG-11548,Swiggy,Tier 2,27700.24,0.617,14.72,42,0.788,3.72,0.217,0.438,0.21,55,0,650,66000,Moderate Risk,0.1259
GIG-11549,Blinkit,Tier 1,30780.2,0.508,1.28,40,0.912,4.97,0.387,0.537,0.02,10,4,415,47000,Very High Risk,0.6692
GIG-11550,Zepto,Tier 2,38592.36,0.74,-6.38,26,0.895,4.97,0.186,0.45,0.301,32,0,710,100000,Moderate Risk,0.0797
GIG-11551,Urban Company,Tier 2,42119.77,0.496,8.22,44,0.958,4.59,0.387,0.594,0.02,47,0,682,105000,Moderate Risk,0.1067
GIG-11552,Porter,Tier 2,25671.53,0.454,7.03,23,0.96,4.6,0.371,0.653,0.02,44,0,612,58000,High Risk,0.2256
GIG-11553,Uber,Tier 1,26852.24,0.289,12.73,28,0.99,4.27,0.401,0.614,0.02,11,0,573,56000,High Risk,0.3428
GIG-11554,Zomato,Tier 1,24413.74,0.301,0.8,54,0.868,4.73,0.147,0.442,0.266,9,0,633,57000,High Risk,0.1621
GIG-11555,Zepto,Tier 3,34387.51,0.917,3.62,38,0.957,3.71,0.286,0.571,0.07,33,0,685,86000,Moderate Risk,0.0726
GIG-11556,Porter,Tier 1,35054.73,0.61,1.83,28,0.858,4.82,0.304,0.65,0.02,42,0,675,87000,Moderate Risk,0.0755
GIG-11557,Zepto,Tier 2,26806.77,0.435,1.03,39,0.923,4.07,0.31,0.515,0.07,42,0,594,58000,High Risk,0.2363
GIG-11558,Zomato,Tier 3,28157.22,0.137,2.96,39,0.986,4.02,0.258,0.561,0.066,59,2,481,50000,Very High Risk,0.6836
GIG-11559,Uber,Tier 2,31432.71,0.928,8.88,44,0.86,4.59,0.129,0.578,0.15,34,0,726,84000,Moderate Risk,0.0685
GIG-11560,Swiggy,Tier 2,32479.71,0.688,10.97,45,0.881,4.5,0.273,0.677,0.02,31,0,682,81000,Moderate Risk,0.0998
GIG-11561,Zomato,Tier 1,24538.44,0.839,12.33,29,0.929,4.72,0.398,0.465,0.02,19,0,650,58000,Moderate Risk,0.083
GIG-11562,Blinkit,Tier 1,25950.41,0.08,17.46,49,0.851,4.07,0.365,0.389,0.184,48,0,602,57000,High Risk,0.2928
GIG-11563,Ola,Tier 3,41475.07,0.822,1.13,51,0.8,3.88,0.151,0.429,0.316,58,3,568,86000,High Risk,0.1834
GIG-11564,Blinkit,Tier 3,24100.27,0.37,5.06,46,0.894,4.03,0.327,0.489,0.101,36,0,590,52000,High Risk,0.2373
GIG-11565,Swiggy,Tier 2,31305.8,0.71,-2.98,61,0.944,4.55,0.178,0.525,0.173,45,0,695,80000,Moderate Risk,0.0645
GIG-11566,Ola,Tier 2,32989.11,0.48,4.29,57,0.915,4.68,0.389,0.593,0.02,25,1,605,73000,High Risk,0.3343
GIG-11567,Zepto,Tier 1,40503.12,0.787,25.77,36,0.875,4.4,0.367,0.372,0.141,56,1,658,98000,Moderate Risk,0.0611
GIG-11568,Zomato,Tier 1,23420.77,0.171,24.01,44,0.942,4.08,0.319,0.588,0.02,44,0,588,50000,High Risk,0.2796
GIG-11569,Uber,Tier 3,33555.19,0.795,0.4,52,0.908,3.56,0.351,0.345,0.213,57,1,619,76000,High Risk,0.2847
GIG-11570,Porter,Tier 2,27150.91,0.368,-15.5,57,0.941,4.78,0.222,0.564,0.109,58,0,595,59000,High Risk,0.1808
GIG-11571,Uber,Tier 1,14149.55,0.443,20.46,38,0.98,4.62,0.174,0.674,0.063,51,0,593,31000,High Risk,0.329
GIG-11572,Porter,Tier 2,23295.67,0.818,-2.36,54,0.923,4.54,0.289,0.54,0.064,18,0,645,55000,Moderate Risk,0.0951
GIG-11573,Blinkit,Tier 2,44232.72,0.742,-2.92,48,0.906,4.96,0.208,0.639,0.02,6,0,713,116000,Moderate Risk,0.1276
GIG-11574,Ola,Tier 3,18369.72,0.57,2.66,55,0.851,4.39,0.186,0.392,0.32,44,0,641,43000,Moderate Risk,0.1017
GIG-11575,Zepto,Tier 2,27094.86,0.402,2.24,55,0.976,4.84,0.182,0.404,0.346,55,0,655,65000,Moderate Risk,0.1051
GIG-11576,Ola,Tier 1,23347.82,0.819,-9.2,33,0.87,4.24,0.347,0.457,0.113,32,1,586,50000,High Risk,0.2129
GIG-11577,Porter,Tier 3,32537.93,0.944,20.27,40,0.956,4.95,0.142,0.387,0.345,31,0,757,90000,Low Risk,0.0212
GIG-11578,Swiggy,Tier 2,23002.47,0.186,20.77,39,0.921,3.82,0.222,0.505,0.159,31,0,557,47000,High Risk,0.2497
GIG-11579,Blinkit,Tier 1,18114.35,0.917,11.81,60,0.915,4.36,0.128,0.7,0.119,34,0,679,45000,Moderate Risk,0.1241
GIG-11580,Zomato,Tier 1,38989.18,0.79,2.99,58,0.86,4.94,0.155,0.495,0.259,28,0,734,105000,Moderate Risk,0.1252
GIG-11581,Zepto,Tier 1,35585.2,0.833,2.31,38,0.929,4.92,0.414,0.555,0.02,38,0,684,89000,Moderate Risk,0.0756
GIG-11582,Zomato,Tier 1,33087.9,0.607,8.2,34,0.88,3.51,0.413,0.44,0.071,53,0,623,76000,High Risk,0.3243
GIG-11583,Urban Company,Tier 3,15039.25,0.076,11.51,32,0.974,4.23,0.34,0.688,0.02,38,0,542,30000,Very High Risk,0.4537
GIG-11584,Ola,Tier 3,16320.35,0.299,-18.38,49,0.796,4.38,0.38,0.574,0.02,45,0,546,33000,Very High Risk,0.4997
GIG-11585,Porter,Tier 2,22227.02,0.591,-1.37,33,0.915,3.54,0.298,0.413,0.172,26,0,622,51000,High Risk,0.3442
GIG-11586,Zomato,Tier 1,38456.43,0.637,1.44,45,0.806,4.37,0.394,0.663,0.02,57,0,653,92000,Moderate Risk,0.1202
GIG-11587,Porter,Tier 2,23261.34,0.22,16.33,36,0.934,4.85,0.236,0.506,0.161,38,2,534,46000,Very High Risk,0.4053
GIG-11588,Porter,Tier 3,32006.35,0.489,-5.61,59,0.962,4.59,0.127,0.575,0.229,45,0,663,78000,Moderate Risk,0.0965
GIG-11589,Blinkit,Tier 3,30491.27,0.698,7.58,48,0.832,4.95,0.174,0.666,0.078,31,1,662,74000,Moderate Risk,0.0725
GIG-11590,Swiggy,Tier 1,25516.43,0.332,14.18,50,0.969,3.66,0.388,0.379,0.109,51,0,555,52000,High Risk,0.3337
GIG-11591,Ola,Tier 1,25822.22,0.511,12.41,50,0.802,4.37,0.163,0.419,0.306,24,0,668,63000,Moderate Risk,0.1052
GIG-11592,Blinkit,Tier 3,23502.8,0.522,9.41,60,0.955,3.82,0.37,0.338,0.202,54,0,631,54000,High Risk,0.1551
GIG-11593,Urban Company,Tier 3,33530.1,0.888,6.37,48,0.781,4.03,0.274,0.5,0.116,36,3,571,70000,High Risk,0.3149
GIG-11594,Blinkit,Tier 3,23829.92,0.694,7.25,43,0.922,3.75,0.331,0.597,0.02,9,0,651,57000,Moderate Risk,0.0935
GIG-11595,Zomato,Tier 1,36567.06,0.818,5.45,43,0.789,4.66,0.234,0.338,0.321,34,0,749,100000,Low Risk,0.0382
GIG-11596,Uber,Tier 3,38163.19,0.85,4.16,38,0.833,3.69,0.318,0.39,0.24,50,0,686,96000,Moderate Risk,0.0956
GIG-11597,Zepto,Tier 1,18717.02,0.363,-9.79,43,0.939,3.71,0.267,0.469,0.148,19,2,481,33000,Very High Risk,0.5362
GIG-11598,Ola,Tier 1,23213.0,0.716,-4.82,69,0.894,4.7,0.304,0.559,0.02,10,0,652,55000,Moderate Risk,0.1128
GIG-11599,Zepto,Tier 1,20430.77,0.43,2.4,59,0.986,3.93,0.148,0.472,0.276,32,0,628,47000,High Risk,0.2254
GIG-11600,Ola,Tier 3,18795.72,0.508,-10.88,66,0.963,4.8,0.223,0.337,0.373,24,0,658,45000,Moderate Risk,0.0865
GIG-11601,Swiggy,Tier 2,34311.16,0.751,17.19,68,0.963,4.02,0.247,0.539,0.112,5,0,695,87000,Moderate Risk,0.0697
GIG-11602,Swiggy,Tier 2,23666.17,0.766,14.85,58,0.799,4.35,0.164,0.401,0.339,32,0,714,62000,Moderate Risk,0.1396
GIG-11603,Uber,Tier 2,31922.06,0.836,-2.11,44,0.91,4.36,0.181,0.619,0.146,3,1,641,75000,Moderate Risk,0.0663
GIG-11604,Zomato,Tier 3,27212.66,0.684,20.33,31,0.944,4.08,0.169,0.474,0.23,30,1,637,64000,High Risk,0.3341
GIG-11605,Porter,Tier 3,23800.59,0.265,-1.93,28,0.92,3.81,0.227,0.613,0.046,52,0,579,51000,High Risk,0.2685
GIG-11606,Uber,Tier 3,33783.67,0.712,17.36,48,0.862,3.79,0.296,0.631,0.02,40,0,688,85000,Moderate Risk,0.112
GIG-11607,Uber,Tier 3,41299.3,0.579,-6.72,52,0.906,4.29,0.198,0.485,0.176,55,0,661,100000,Moderate Risk,0.0662
GIG-11608,Uber,Tier 1,28813.97,0.24,0.78,29,0.85,4.37,0.221,0.457,0.186,27,1,560,59000,High Risk,0.2639
GIG-11609,Blinkit,Tier 3,29488.38,0.28,5.95,43,0.94,4.71,0.177,0.409,0.334,59,0,639,69000,High Risk,0.1864
GIG-11610,Zepto,Tier 2,20141.29,0.704,-0.04,45,0.798,4.54,0.341,0.626,0.02,41,1,570,42000,High Risk,0.1769
GIG-11611,Ola,Tier 2,22538.94,0.199,10.66,62,0.824,3.84,0.363,0.501,0.02,28,0,543,45000,Very High Risk,0.4981
GIG-11612,Blinkit,Tier 2,29504.39,0.262,-0.58,33,0.94,3.81,0.297,0.58,0.02,31,0,582,63000,High Risk,0.1544
GIG-11613,Uber,Tier 1,25297.63,0.373,9.18,54,0.786,4.56,0.379,0.564,0.02,29,1,545,51000,Very High Risk,0.4717
GIG-11614,Urban Company,Tier 3,39387.5,0.825,2.36,50,0.887,3.7,0.391,0.6,0.02,38,0,661,95000,Moderate Risk,0.0989
GIG-11615,Blinkit,Tier 3,20465.58,0.48,2.67,55,0.934,3.93,0.22,0.311,0.322,50,1,597,45000,High Risk,0.1633
GIG-11616,Ola,Tier 1,30510.24,0.932,-9.48,42,0.843,4.93,0.207,0.385,0.304,16,0,728,81000,Moderate Risk,0.0629
GIG-11617,Urban Company,Tier 3,34597.28,0.885,3.69,39,0.796,4.61,0.139,0.374,0.395,25,0,731,93000,Moderate Risk,0.1171
GIG-11618,Uber,Tier 3,11000.0,0.856,2.98,69,0.932,4.33,0.361,0.477,0.063,44,0,618,25000,High Risk,0.275
GIG-11619,Uber,Tier 3,17457.51,0.443,1.28,51,0.887,3.58,0.192,0.61,0.136,37,0,590,38000,High Risk,0.2999
GIG-11620,Blinkit,Tier 3,30796.46,0.88,3.65,57,0.793,3.91,0.189,0.655,0.041,10,0,709,80000,Moderate Risk,0.1204
GIG-11621,Blinkit,Tier 3,28776.33,0.494,10.05,46,0.865,4.77,0.393,0.662,0.02,33,0,624,66000,High Risk,0.3035
GIG-11622,Zepto,Tier 3,20440.57,0.644,6.88,50,0.945,4.36,0.37,0.405,0.154,50,2,562,42000,High Risk,0.2435
GIG-11623,Urban Company,Tier 2,37722.61,0.977,24.06,22,0.913,4.92,0.316,0.653,0.02,54,0,720,100000,Moderate Risk,0.1239
GIG-11624,Zomato,Tier 3,39233.73,0.799,21.34,34,0.844,3.9,0.364,0.692,0.02,9,0,724,104000,Moderate Risk,0.097
GIG-11625,Zomato,Tier 2,11000.0,0.132,8.24,46,0.84,3.62,0.368,0.699,0.02,12,0,487,20000,Very High Risk,0.6711
GIG-11626,Zomato,Tier 3,30523.69,0.821,-13.64,58,0.943,3.69,0.251,0.58,0.078,6,0,638,71000,High Risk,0.1523
GIG-11627,Ola,Tier 2,43100.41,0.769,2.06,46,0.785,4.19,0.357,0.364,0.145,51,0,700,111000,Moderate Risk,0.1372
GIG-11628,Uber,Tier 2,11390.28,0.653,-0.29,42,0.949,4.98,0.138,0.473,0.336,46,0,636,27000,High Risk,0.338
GIG-11629,Urban Company,Tier 1,15101.14,0.833,2.74,34,0.944,3.55,0.327,0.332,0.267,56,0,645,36000,Moderate Risk,0.0877
GIG-11630,Zomato,Tier 3,23947.89,0.237,-5.8,40,0.905,4.65,0.214,0.31,0.405,53,0,607,53000,High Risk,0.2133
GIG-11631,Urban Company,Tier 1,26657.32,0.541,17.3,40,0.888,3.56,0.404,0.333,0.153,51,1,591,58000,High Risk,0.3149
GIG-11632,Zomato,Tier 2,21540.91,0.718,7.9,36,0.98,4.19,0.408,0.675,0.02,55,2,543,43000,Very High Risk,0.4661
GIG-11633,Porter,Tier 1,32808.66,0.511,17.7,34,0.841,4.24,0.365,0.363,0.124,42,0,670,81000,Moderate Risk,0.1357
GIG-11634,Ola,Tier 3,28553.89,0.34,19.43,44,0.898,3.78,0.266,0.669,0.02,44,0,594,62000,High Risk,0.2011
GIG-11635,Zepto,Tier 1,23588.54,0.077,-2.34,50,0.938,4.5,0.124,0.324,0.437,35,0,603,52000,High Risk,0.3383
GIG-11636,Urban Company,Tier 3,42025.56,0.749,2.15,34,0.787,3.82,0.142,0.455,0.269,45,0,717,110000,Moderate Risk,0.1008
GIG-11637,Zomato,Tier 2,36056.92,0.759,-5.01,65,0.83,4.14,0.382,0.635,0.02,27,0,648,86000,Moderate Risk,0.1354
GIG-11638,Zepto,Tier 3,27610.05,0.489,-7.61,47,0.885,4.86,0.288,0.402,0.257,23,0,628,64000,High Risk,0.272
GIG-11639,Zomato,Tier 1,28694.3,0.607,-17.84,48,0.983,3.74,0.282,0.428,0.187,50,0,614,65000,High Risk,0.2769
GIG-11640,Urban Company,Tier 1,22724.32,0.32,9.05,36,0.792,4.0,0.374,0.61,0.02,42,1,534,44000,Very High Risk,0.6931
GIG-11641,Porter,Tier 1,42832.19,0.587,3.33,43,0.847,4.72,0.315,0.368,0.188,43,0,657,103000,Moderate Risk,0.1292
GIG-11642,Blinkit,Tier 3,29664.68,0.305,-5.68,50,0.803,4.48,0.323,0.446,0.097,37,3,460,50000,Very High Risk,0.3618
GIG-11643,Ola,Tier 3,17091.71,0.131,3.94,45,0.789,3.99,0.308,0.617,0.02,15,0,534,33000,Very High Risk,0.5678
GIG-11644,Urban Company,Tier 2,39336.86,0.809,6.82,42,0.866,4.01,0.414,0.671,0.02,14,0,675,97000,Moderate Risk,0.061
GIG-11645,Swiggy,Tier 1,33818.24,0.984,0.59,56,0.854,4.0,0.397,0.32,0.188,14,0,677,84000,Moderate Risk,0.1311
GIG-11646,Swiggy,Tier 2,15154.26,0.691,22.34,57,0.871,4.01,0.184,0.542,0.129,5,0,650,36000,Moderate Risk,0.0904
GIG-11647,Zepto,Tier 2,32310.71,0.881,0.08,45,0.844,4.01,0.288,0.523,0.068,38,0,686,81000,Moderate Risk,0.0616
GIG-11648,Urban Company,Tier 1,22085.62,0.248,23.15,39,0.788,3.83,0.305,0.639,0.02,13,0,621,50000,High Risk,0.234
GIG-11649,Urban Company,Tier 1,30862.84,0.583,23.38,40,0.826,4.94,0.216,0.513,0.219,24,1,650,74000,Moderate Risk,0.1347
GIG-11650,Porter,Tier 3,32605.99,0.925,14.86,30,0.934,4.29,0.142,0.637,0.075,12,0,729,87000,Moderate Risk,0.1329
GIG-11651,Zomato,Tier 1,19796.24,0.554,21.94,50,0.956,4.17,0.344,0.421,0.164,23,0,638,46000,High Risk,0.2066
GIG-11652,Zomato,Tier 3,27190.45,0.419,-13.15,51,0.868,4.55,0.123,0.411,0.402,42,0,635,63000,High Risk,0.2554
GIG-11653,Urban Company,Tier 2,31474.33,0.851,18.45,38,0.842,3.67,0.197,0.455,0.293,53,0,722,83000,Moderate Risk,0.0658
GIG-11654,Blinkit,Tier 1,41669.53,0.897,-6.81,39,0.976,4.36,0.206,0.582,0.125,53,0,717,110000,Moderate Risk,0.0642
GIG-11655,Blinkit,Tier 3,17919.94,0.313,10.48,53,0.916,4.86,0.138,0.367,0.404,17,0,620,41000,High Risk,0.1799
GIG-11656,Uber,Tier 3,24972.98,0.519,-5.39,55,0.831,3.98,0.337,0.628,0.02,7,0,578,53000,High Risk,0.3367
GIG-11657,Uber,Tier 2,25007.16,0.333,10.39,36,0.882,3.78,0.33,0.519,0.098,37,0,578,53000,High Risk,0.2198
GIG-11658,Zepto,Tier 1,30963.06,0.575,28.04,50,0.865,3.93,0.363,0.327,0.232,25,0,675,77000,Moderate Risk,0.1257
GIG-11659,Ola,Tier 1,21423.98,0.558,-16.3,62,0.807,4.84,0.291,0.652,0.02,45,0,583,46000,High Risk,0.3162
GIG-11660,Blinkit,Tier 2,25056.49,0.264,4.16,44,0.954,4.23,0.313,0.465,0.137,26,0,599,55000,High Risk,0.2221
GIG-11661,Urban Company,Tier 1,36242.53,0.834,5.15,58,0.861,3.74,0.366,0.53,0.045,51,0,692,92000,Moderate Risk,0.1335
GIG-11662,Porter,Tier 3,25501.73,0.536,4.79,61,0.905,4.83,0.179,0.339,0.363,55,1,635,59000,High Risk,0.3166
GIG-11663,Zomato,Tier 1,35844.51,0.642,-0.59,31,0.846,3.98,0.171,0.418,0.359,45,0,696,91000,Moderate Risk,0.1256
GIG-11664,Blinkit,Tier 2,31061.82,0.897,16.37,58,0.948,4.41,0.167,0.641,0.079,18,1,657,75000,Moderate Risk,0.066
GIG-11665,Ola,Tier 1,35979.37,0.925,17.87,33,0.807,4.69,0.394,0.442,0.043,46,0,728,96000,Moderate Risk,0.1169
GIG-11666,Blinkit,Tier 2,21795.24,0.133,11.51,54,0.901,3.68,0.17,0.628,0.072,53,0,555,44000,High Risk,0.2154
GIG-11667,Swiggy,Tier 2,27564.61,0.815,-17.76,48,0.988,4.78,0.252,0.7,0.02,19,0,616,62000,High Risk,0.2773
GIG-11668,Urban Company,Tier 1,30440.33,0.819,4.99,35,0.929,4.61,0.138,0.436,0.347,36,0,701,78000,Moderate Risk,0.1108
GIG-11669,Blinkit,Tier 3,20323.14,0.245,4.6,44,0.845,4.32,0.416,0.617,0.02,54,0,575,43000,High Risk,0.2973
GIG-11670,Porter,Tier 2,31472.1,0.777,11.26,35,0.959,4.11,0.414,0.386,0.108,5,0,673,78000,Moderate Risk,0.0977
GIG-11671,Urban Company,Tier 3,30829.44,0.915,5.63,43,0.834,3.76,0.3,0.582,0.029,15,0,677,77000,Moderate Risk,0.0817
GIG-11672,Blinkit,Tier 3,31504.67,0.69,-9.63,45,0.943,3.94,0.294,0.409,0.204,8,0,630,73000,High Risk,0.1532
GIG-11673,Swiggy,Tier 1,43219.44,0.803,22.39,34,0.98,4.28,0.356,0.601,0.02,52,0,696,110000,Moderate Risk,0.1362
GIG-11674,Zomato,Tier 3,20660.86,0.068,6.76,32,0.899,4.72,0.257,0.626,0.036,7,0,547,41000,Very High Risk,0.6516
GIG-11675,Ola,Tier 3,17816.05,0.583,8.04,40,0.835,4.47,0.33,0.438,0.135,43,0,623,41000,High Risk,0.1867
GIG-11676,Ola,Tier 3,30824.06,0.935,1.43,51,0.876,4.61,0.395,0.435,0.076,30,1,639,72000,High Risk,0.3309
GIG-11677,Swiggy,Tier 1,11000.0,0.195,4.12,60,0.782,4.53,0.237,0.553,0.099,37,0,540,22000,Very High Risk,0.6027
GIG-11678,Zepto,Tier 3,40957.91,0.751,3.45,28,0.832,4.36,0.336,0.432,0.122,55,1,652,98000,Moderate Risk,0.0859
GIG-11679,Swiggy,Tier 3,23752.32,0.585,30.38,50,0.933,3.88,0.373,0.681,0.02,46,1,589,51000,High Risk,0.2152
GIG-11680,Uber,Tier 1,28354.57,0.707,11.39,38,0.803,4.82,0.372,0.572,0.02,32,0,666,69000,Moderate Risk,0.0819
GIG-11681,Blinkit,Tier 1,18403.03,0.702,-17.95,52,0.934,3.65,0.306,0.475,0.128,8,0,606,41000,High Risk,0.3395
GIG-11682,Swiggy,Tier 1,18804.68,0.034,16.32,57,0.869,4.75,0.334,0.413,0.143,14,0,570,39000,High Risk,0.2172
GIG-11683,Urban Company,Tier 3,19512.93,0.727,9.22,33,0.83,3.66,0.135,0.309,0.463,7,0,692,50000,Moderate Risk,0.0703
GIG-11684,Ola,Tier 2,23169.45,0.312,0.15,26,0.84,4.58,0.266,0.353,0.321,29,0,608,52000,High Risk,0.2499
GIG-11685,Zepto,Tier 2,24871.79,0.183,8.44,34,0.981,4.75,0.139,0.428,0.369,43,2,554,51000,High Risk,0.1967
GIG-11686,Zepto,Tier 2,31702.74,0.827,0.89,31,0.944,4.41,0.274,0.537,0.129,23,0,654,76000,Moderate Risk,0.1032
GIG-11687,Zomato,Tier 2,29415.67,0.444,2.07,45,0.946,3.88,0.365,0.406,0.178,46,0,615,66000,High Risk,0.2523
GIG-11688,Swiggy,Tier 3,27862.03,0.666,-1.41,46,0.864,3.95,0.192,0.542,0.157,3,0,638,65000,High Risk,0.1919
GIG-11689,Swiggy,Tier 3,21702.32,0.022,7.85,41,0.857,4.78,0.142,0.45,0.324,40,4,423,34000,Very High Risk,0.4125
GIG-11690,Zomato,Tier 3,45674.63,0.646,-16.02,46,0.876,3.75,0.218,0.328,0.315,57,0,667,112000,Moderate Risk,0.098
GIG-11691,Swiggy,Tier 2,37941.57,0.921,12.82,33,0.821,4.45,0.148,0.548,0.203,35,0,734,102000,Moderate Risk,0.0774
GIG-11692,Swiggy,Tier 2,44148.64,0.83,7.97,54,0.838,4.59,0.337,0.521,0.068,53,0,692,112000,Moderate Risk,0.0906
GIG-11693,Urban Company,Tier 3,24689.06,0.279,14.76,41,0.926,4.66,0.125,0.538,0.228,8,0,633,57000,High Risk,0.3
GIG-11694,Urban Company,Tier 2,42549.02,0.557,-9.32,44,0.794,4.96,0.307,0.679,0.02,27,0,656,102000,Moderate Risk,0.0707
GIG-11695,Zepto,Tier 3,17064.49,0.359,31.26,36,0.784,4.4,0.247,0.668,0.02,4,0,591,37000,High Risk,0.2027
GIG-11696,Porter,Tier 1,31299.81,0.912,6.58,38,0.82,3.73,0.406,0.541,0.02,37,2,567,65000,High Risk,0.1961
GIG-11697,Ola,Tier 1,11000.0,0.842,1.17,38,0.854,3.96,0.414,0.673,0.02,50,3,455,18000,Very High Risk,0.697
GIG-11698,Zepto,Tier 3,21827.75,0.12,-6.66,38,0.831,3.51,0.384,0.418,0.139,21,0,529,42000,Very High Risk,0.4093
GIG-11699,Uber,Tier 2,28160.01,0.508,-1.63,27,0.846,4.85,0.133,0.394,0.342,46,1,606,63000,High Risk,0.2412
GIG-11700,Blinkit,Tier 1,35443.86,0.734,0.45,55,0.853,4.19,0.313,0.601,0.02,38,0,681,89000,Moderate Risk,0.0732
GIG-11701,Uber,Tier 1,21813.79,0.574,-18.48,33,0.906,4.7,0.372,0.568,0.02,5,2,509,41000,Very High Risk,0.6733
GIG-11702,Zomato,Tier 3,24879.14,0.667,-8.05,48,0.876,4.79,0.146,0.312,0.431,41,0,654,60000,Moderate Risk,0.0669
GIG-11703,Zepto,Tier 3,15632.36,0.563,5.21,35,0.933,4.53,0.348,0.483,0.101,38,0,627,36000,High Risk,0.1641
GIG-11704,Swiggy,Tier 2,40912.92,0.816,3.63,31,0.899,4.17,0.396,0.414,0.074,16,0,712,107000,Moderate Risk,0.078
GIG-11705,Blinkit,Tier 1,22781.89,0.159,-2.38,48,0.973,3.83,0.156,0.381,0.396,29,0,589,49000,High Risk,0.2277
GIG-11706,Uber,Tier 1,39513.62,0.647,4.92,28,0.841,4.26,0.321,0.611,0.02,14,0,666,96000,Moderate Risk,0.0759
GIG-11707,Ola,Tier 3,19927.92,0.537,33.47,49,0.926,4.24,0.265,0.447,0.211,56,2,573,42000,High Risk,0.1835
GIG-11708,Urban Company,Tier 1,26550.91,0.295,7.01,57,0.817,3.72,0.292,0.447,0.155,10,0,587,57000,High Risk,0.1566
GIG-11709,Uber,Tier 3,28708.63,0.172,22.82,31,0.805,4.07,0.34,0.549,0.02,54,0,584,61000,High Risk,0.3141
GIG-11710,Zomato,Tier 3,34755.52,0.33,-6.03,69,0.916,4.19,0.313,0.423,0.13,32,0,618,79000,High Risk,0.2475
GIG-11711,Swiggy,Tier 2,24018.04,0.455,14.26,40,0.982,3.86,0.349,0.53,0.068,45,0,601,53000,High Risk,0.3295
GIG-11712,Swiggy,Tier 2,34793.23,0.737,18.4,41,0.892,4.21,0.362,0.469,0.039,9,0,706,90000,Moderate Risk,0.1319
