survived,passenger_class,sex,age,siblings_spouses,parents_children,fare,embarkation_port
0,third,male,22,0,0,7.7958,southampton
0,third,male,35,0,0,8.05,southampton
0,third,female,18.5,0,0,7.2833,queenstown
1,third,male,21,0,0,7.8208,queenstown
0,third,male,19,0,0,6.75,queenstown
0,third,female,18,0,0,7.8792,queenstown
0,third,female,21,0,0,8.6625,southampton
0,third,female,30,0,0,8.6625,southampton
0,third,male,18,0,0,8.6625,southampton
0,third,male,38,0,0,8.6625,southampton
0,third,male,17,0,0,8.6625,southampton
0,third,male,17,0,0,8.6625,southampton
0,third,female,21,0,0,7.75,queenstown
0,third,male,21,0,0,7.75,queenstown
0,third,male,21,0,0,8.05,southampton
0,third,male,,1,0,14.4583,cherbourg
0,third,female,,1,0,14.4583,cherbourg
0,third,male,28,0,0,7.7958,southampton
0,third,male,24,0,0,7.8542,southampton
1,third,female,16,0,0,7.75,queenstown
0,third,female,37,0,0,7.75,queenstown
0,third,male,28,0,0,7.25,southampton
0,third,male,24,0,0,8.05,southampton
0,third,male,21,0,0,7.7333,queenstown
1,third,male,32,0,0,56.4958,southampton
0,third,male,29,0,0,8.05,southampton
0,third,male,26,1,0,14.4542,cherbourg
0,third,male,18,1,0,14.4542,cherbourg
0,third,male,20,0,0,7.05,southampton
1,third,male,18,0,0,8.05,southampton
0,third,male,24,0,0,7.25,queenstown
0,third,male,36,0,0,7.4958,southampton
0,third,male,24,0,0,7.4958,southampton
0,third,male,31,0,0,7.7333,queenstown
0,third,male,31,0,0,7.75,queenstown
1,third,female,22,0,0,7.75,queenstown
0,third,female,30,0,0,7.6292,queenstown
0,third,male,70.5,0,0,7.75,queenstown
0,third,male,43,0,0,8.05,southampton
0,third,male,35,0,0,7.8958,southampton
0,third,male,27,0,0,7.8958,southampton
0,third,male,19,0,0,7.8958,southampton
0,third,male,30,0,0,8.05,southampton
1,third,male,9,1,1,15.9,southampton
1,third,male,3,1,1,15.9,southampton
1,third,female,36,0,2,15.9,southampton
0,third,male,59,0,0,7.25,southampton
0,third,male,19,0,0,8.1583,southampton
1,third,female,17,0,1,16.1,southampton
0,third,male,44,0,1,16.1,southampton
0,third,male,17,0,0,8.6625,southampton
0,third,male,22.5,0,0,7.225,cherbourg
1,third,male,45,0,0,8.05,southampton
0,third,female,22,0,0,10.5167,southampton
0,third,male,19,0,0,10.1708,southampton
1,third,female,30,0,0,6.95,queenstown
1,third,male,29,0,0,7.75,queenstown
0,third,male,0.3333,0,2,14.4,southampton
0,third,male,34,1,1,14.4,southampton
0,third,female,28,1,1,14.4,southampton
0,third,male,27,0,0,7.8958,southampton
0,third,male,25,0,0,7.8958,southampton
0,third,male,24,2,0,24.15,southampton
0,third,male,22,0,0,8.05,southampton
0,third,male,21,2,0,24.15,southampton
0,third,male,17,2,0,8.05,southampton
0,third,male,,1,0,16.1,southampton
1,third,female,,1,0,16.1,southampton
1,third,male,36.5,1,0,17.4,southampton
1,third,female,36,1,0,17.4,southampton
1,third,male,30,0,0,9.5,southampton
0,third,male,16,0,0,9.5,southampton
1,third,male,1,1,2,20.575,southampton
1,third,female,0.1667,1,2,20.575,southampton
0,third,male,26,1,2,20.575,southampton
1,third,female,33,1,2,20.575,southampton
0,third,male,25,0,0,7.8958,southampton
0,third,male,,0,0,7.8958,southampton
0,third,male,,0,0,7.8958,southampton
0,third,male,22,0,0,7.25,southampton
0,third,male,36,0,0,7.25,southampton
1,third,female,19,0,0,7.8792,queenstown
0,third,male,17,0,0,7.8958,southampton
0,third,male,42,0,0,8.6625,southampton
0,third,male,43,0,0,7.8958,southampton
0,third,male,,0,0,7.2292,cherbourg
0,third,male,32,0,0,7.75,queenstown
1,third,male,19,0,0,8.05,southampton
1,third,female,30,0,0,12.475,southampton
0,third,female,24,0,0,7.75,queenstown
1,third,female,23,0,0,8.05,southampton
0,third,male,33,0,0,7.8958,cherbourg
0,third,male,65,0,0,7.75,queenstown
1,third,male,24,0,0,7.55,southampton
0,third,male,23,1,0,13.9,southampton
1,third,female,22,1,0,13.9,southampton
0,third,male,18,0,0,7.775,southampton
0,third,male,16,0,0,7.775,southampton
0,third,male,45,0,0,6.975,southampton
0,third,male,,0,0,7.225,cherbourg
0,third,male,39,0,2,7.2292,cherbourg
0,third,male,17,1,1,7.2292,cherbourg
0,third,male,15,1,1,7.2292,cherbourg
0,third,male,47,0,0,7.25,southampton
1,third,female,5,0,0,12.475,southampton
0,third,male,,0,0,7.225,cherbourg
0,third,male,40.5,0,0,15.1,southampton
0,third,male,40.5,0,0,7.75,queenstown
1,third,male,,0,0,7.05,southampton
0,third,male,18,0,0,7.7958,southampton
0,third,female,,0,0,7.75,queenstown
0,third,male,,0,0,7.75,queenstown
0,third,male,,0,0,6.95,queenstown
0,third,male,26,0,0,7.8792,queenstown
0,third,male,,0,0,7.75,queenstown
1,third,male,,0,0,56.4958,southampton
0,third,female,21,2,2,34.375,southampton
0,third,female,9,2,2,34.375,southampton
0,third,male,,0,0,8.05,southampton
0,third,male,18,2,2,34.375,southampton
0,third,male,16,1,3,34.375,southampton
0,third,female,48,1,3,34.375,southampton
0,third,male,,0,0,7.75,queenstown
0,third,male,,0,0,7.25,southampton
0,third,male,25,0,0,7.7417,queenstown
0,third,male,,0,0,14.5,southampton
0,third,male,,0,0,7.8958,cherbourg
0,third,male,22,0,0,8.05,southampton
1,third,female,16,0,0,7.7333,queenstown
1,third,female,,0,0,7.75,queenstown
1,third,male,9,0,2,20.525,southampton
0,third,male,33,1,1,20.525,southampton
0,third,male,41,0,0,7.85,southampton
1,third,female,31,1,1,20.525,southampton
0,third,male,38,0,0,7.05,southampton
0,third,male,9,5,2,46.9,southampton
0,third,male,1,5,2,46.9,southampton
0,third,male,11,5,2,46.9,southampton
0,third,female,10,5,2,46.9,southampton
0,third,female,16,5,2,46.9,southampton
0,third,male,14,5,2,46.9,southampton
0,third,male,40,1,6,46.9,southampton
0,third,female,43,1,6,46.9,southampton
0,third,male,51,0,0,8.05,southampton
0,third,male,32,0,0,8.3625,southampton
0,third,male,,0,0,8.05,southampton
0,third,male,20,0,0,9.8458,southampton
0,third,male,37,2,0,7.925,southampton
0,third,male,28,2,0,7.925,southampton
0,third,male,19,0,0,7.775,southampton
0,third,female,24,0,0,8.85,southampton
0,third,female,17,0,0,7.7333,queenstown
0,third,male,,1,0,19.9667,southampton
0,third,male,,1,0,19.9667,southampton
0,third,male,28,1,0,15.85,southampton
1,third,female,24,1,0,15.85,southampton
0,third,male,20,0,0,9.5,southampton
0,third,male,23.5,0,0,7.2292,cherbourg
0,third,male,41,2,0,14.1083,southampton
0,third,male,26,1,0,7.8542,southampton
0,third,male,21,0,0,7.8542,southampton
1,third,female,45,1,0,14.1083,southampton
0,third,female,,0,0,7.55,southampton
0,third,male,25,0,0,7.25,southampton
0,third,male,,0,0,6.8583,queenstown
0,third,male,11,0,0,18.7875,cherbourg
1,third,female,,0,0,7.75,queenstown
1,third,male,27,0,0,6.975,southampton
1,third,male,,0,0,56.4958,southampton
0,third,female,18,0,0,6.75,queenstown
1,third,female,26,0,0,7.925,southampton
0,third,female,23,0,0,7.925,southampton
1,third,female,22,0,0,8.9625,southampton
0,third,male,28,0,0,7.8958,southampton
0,third,female,28,0,0,7.775,southampton
0,third,female,,0,0,7.75,queenstown
1,third,female,2,0,1,12.2875,southampton
1,third,female,22,1,1,12.2875,southampton
0,third,male,43,0,0,6.45,southampton
0,third,male,28,0,0,22.525,southampton
1,third,female,27,0,0,7.925,southampton
0,third,male,,0,0,7.75,queenstown
1,third,female,,0,0,8.05,southampton
0,third,male,42,0,0,7.65,southampton
1,third,male,,0,0,7.8875,southampton
0,third,male,30,0,0,7.2292,cherbourg
0,third,male,,0,0,7.8958,southampton
0,third,female,27,1,0,7.925,southampton
0,third,female,25,1,0,7.925,southampton
0,third,male,,0,0,7.8958,southampton
1,third,male,29,0,0,7.8958,cherbourg
1,third,male,21,0,0,7.7958,southampton
0,third,male,,0,0,7.05,southampton
0,third,male,20,0,0,7.8542,southampton
0,third,male,48,0,0,7.8542,southampton
0,third,male,17,1,0,7.0542,southampton
1,third,female,,0,0,7.75,queenstown
1,third,male,,0,0,8.1125,southampton
0,third,male,34,0,0,6.4958,southampton
1,third,male,26,0,0,7.775,southampton
0,third,male,22,0,0,7.7958,southampton
0,third,male,33,0,0,8.6542,southampton
0,third,male,31,0,0,7.775,southampton
0,third,male,29,0,0,7.8542,southampton
1,third,male,4,1,1,11.1333,southampton
1,third,female,1,1,1,11.1333,southampton
0,third,male,49,0,0,0,southampton
0,third,male,33,0,0,7.775,southampton
0,third,male,19,0,0,0,southampton
1,third,female,27,0,2,11.1333,southampton
0,third,male,,1,2,23.45,southampton
0,third,female,,1,2,23.45,southampton
0,third,male,,1,2,23.45,southampton
0,third,female,,1,2,23.45,southampton
0,third,male,23,0,0,7.8958,southampton
1,third,male,32,0,0,7.8542,southampton
0,third,male,27,0,0,7.8542,southampton
0,third,female,20,1,0,9.825,southampton
0,third,female,21,1,0,9.825,southampton
1,third,male,32,0,0,7.925,southampton
0,third,male,17,0,0,7.125,southampton
0,third,male,21,0,0,8.4333,southampton
0,third,male,30,0,0,7.8958,southampton
1,third,male,21,0,0,7.7958,southampton
0,third,male,33,0,0,7.8542,southampton
0,third,male,22,0,0,7.5208,southampton
1,third,female,4,0,1,13.4167,cherbourg
1,third,male,39,0,1,13.4167,cherbourg
0,third,male,,0,0,7.2292,cherbourg
0,third,male,18.5,0,0,7.2292,cherbourg
0,third,male,,0,0,7.75,queenstown
0,third,male,,0,0,7.25,southampton
1,third,female,,0,0,7.75,queenstown
1,third,female,,0,0,7.75,queenstown
0,third,male,34.5,0,0,7.8292,queenstown
0,third,male,44,0,0,8.05,southampton
1,third,male,,0,0,7.75,queenstown
0,third,male,,1,0,14.4542,cherbourg
0,third,female,,1,0,14.4542,cherbourg
0,third,male,,1,0,7.75,queenstown
0,third,male,,1,0,7.75,queenstown
0,third,male,,0,0,7.7375,queenstown
0,third,female,22,2,0,8.6625,southampton
0,third,male,26,2,0,8.6625,southampton
1,third,female,4,0,2,22.025,southampton
1,third,male,29,3,1,22.025,southampton
1,third,female,26,1,1,22.025,southampton
0,third,female,1,1,1,12.1833,southampton
0,third,male,18,1,1,7.8542,southampton
0,third,female,36,0,2,12.1833,southampton
0,third,male,,0,0,7.8958,cherbourg
1,third,male,25,0,0,7.2292,cherbourg
0,third,male,,0,0,7.225,cherbourg
0,third,female,37,0,0,9.5875,southampton
0,third,male,,0,0,7.8958,southampton
1,third,male,,0,0,56.4958,southampton
0,third,male,,0,0,56.4958,southampton
1,third,female,22,0,0,7.25,southampton
0,third,male,,0,0,7.75,queenstown
1,third,male,26,0,0,56.4958,southampton
0,third,male,29,0,0,9.4833,southampton
0,third,male,29,0,0,7.775,southampton
0,third,male,22,0,0,7.775,southampton
1,third,male,22,0,0,7.225,cherbourg
0,third,male,,3,1,25.4667,southampton
0,third,female,,3,1,25.4667,southampton
0,third,female,,3,1,25.4667,southampton
0,third,female,,3,1,25.4667,southampton
0,third,female,,0,4,25.4667,southampton
0,third,male,32,0,0,7.925,southampton
0,third,male,34.5,0,0,6.4375,cherbourg
0,third,female,,1,0,15.5,queenstown
0,third,male,,1,0,15.5,queenstown
0,third,male,36,0,0,0,southampton
0,third,male,39,0,0,24.15,southampton
0,third,male,24,0,0,9.5,southampton
0,third,female,25,0,0,7.775,southampton
0,third,female,45,0,0,7.75,southampton
0,third,male,36,1,0,15.55,southampton
0,third,female,30,1,0,15.55,southampton
1,third,male,20,1,0,7.925,southampton
0,third,male,,0,0,7.8792,queenstown
0,third,male,28,0,0,56.4958,southampton
0,third,male,,0,0,7.55,southampton
0,third,male,30,1,0,16.1,southampton
0,third,female,26,1,0,16.1,southampton
0,third,male,,0,0,7.8792,southampton
0,third,male,20.5,0,0,7.25,southampton
1,third,male,27,0,0,8.6625,southampton
0,third,male,51,0,0,7.0542,southampton
1,third,female,23,0,0,7.8542,southampton
1,third,male,32,0,0,7.5792,southampton
0,third,male,,0,0,7.8958,southampton
0,third,male,,0,0,7.55,southampton
1,third,female,,0,0,7.75,queenstown
1,third,male,24,0,0,7.1417,southampton
0,third,male,22,0,0,7.125,southampton
0,third,female,,0,0,7.8792,queenstown
0,third,male,,0,0,7.75,queenstown
0,third,male,,0,0,8.05,southampton
0,third,male,29,0,0,7.925,southampton
1,third,male,,0,0,7.2292,cherbourg
0,third,female,30.5,0,0,7.75,queenstown
1,third,female,,0,0,7.7375,queenstown
0,third,male,,0,0,7.2292,cherbourg
0,third,male,35,0,0,7.8958,cherbourg
0,third,male,33,0,0,7.8958,southampton
1,third,female,,0,0,7.225,cherbourg
0,third,male,,0,0,7.8958,cherbourg
1,third,female,,0,0,7.75,queenstown
1,third,male,,0,0,7.75,queenstown
1,third,female,,2,0,23.25,queenstown
1,third,female,,2,0,23.25,queenstown
1,third,male,,2,0,23.25,queenstown
1,third,female,,0,0,7.7875,queenstown
0,third,male,,0,0,15.5,queenstown
1,third,female,,0,0,7.8792,queenstown
1,third,female,15,0,0,8.0292,queenstown
0,third,female,35,0,0,7.75,queenstown
0,third,male,,0,0,7.75,queenstown
0,third,male,24,1,0,16.1,southampton
0,third,female,19,1,0,16.1,southampton
0,third,female,,0,0,7.75,queenstown
0,third,female,,0,0,8.05,southampton
0,third,female,,0,0,8.05,southampton
0,third,male,55.5,0,0,8.05,southampton
0,third,male,,0,0,7.75,queenstown
1,third,male,21,0,0,7.775,southampton
0,third,male,,0,0,8.05,southampton
0,third,male,24,0,0,7.8958,southampton
0,third,male,21,0,0,7.8958,southampton
0,third,male,28,0,0,7.8958,southampton
0,third,male,,0,0,7.8958,southampton
1,third,female,,0,0,7.8792,queenstown
0,third,male,25,0,0,7.65,southampton
1,third,male,6,0,1,12.475,southampton
1,third,female,27,0,1,12.475,southampton
0,third,male,,0,0,8.05,southampton
1,third,female,,1,0,24.15,queenstown
0,third,male,,1,0,24.15,queenstown
0,third,male,,0,0,8.4583,queenstown
0,third,male,34,0,0,8.05,southampton
0,third,male,,0,0,7.75,queenstown
1,third,male,,0,0,7.775,southampton
1,third,male,,1,1,15.2458,cherbourg
1,third,male,,1,1,15.2458,cherbourg
1,third,female,,0,2,15.2458,cherbourg
1,third,female,,0,0,7.2292,cherbourg
0,third,male,,0,0,8.05,southampton
1,third,female,,0,0,7.7333,queenstown
1,third,female,24,0,0,7.75,queenstown
0,third,male,,0,0,8.05,southampton
1,third,female,,1,0,15.5,queenstown
1,third,female,,1,0,15.5,queenstown
1,third,female,,0,0,15.5,queenstown
0,third,male,18,0,0,7.75,southampton
0,third,male,22,0,0,7.8958,southampton
1,third,female,15,0,0,7.225,cherbourg
1,third,female,1,0,2,15.7417,cherbourg
1,third,male,20,1,1,15.7417,cherbourg
1,third,female,19,1,1,15.7417,cherbourg
0,third,male,33,0,0,8.05,southampton
0,third,male,,0,0,7.8958,southampton
0,third,male,,0,0,7.2292,cherbourg
0,third,female,,0,0,7.75,queenstown
0,third,male,,0,0,7.8958,southampton
1,third,male,12,1,0,11.2417,cherbourg
1,third,female,14,1,0,11.2417,cherbourg
0,third,female,29,0,0,7.925,southampton
0,third,male,28,0,0,8.05,southampton
1,third,female,18,0,0,7.775,southampton
1,third,female,26,0,0,7.8542,southampton
0,third,male,21,0,0,7.8542,southampton
0,third,male,41,0,0,7.125,southampton
1,third,male,39,0,0,7.925,southampton
0,third,male,21,0,0,7.8,southampton
0,third,male,28.5,0,0,7.2292,cherbourg
1,third,female,22,0,0,7.75,southampton
0,third,male,61,0,0,6.2375,southampton
0,third,male,,1,0,15.5,queenstown
0,third,male,,0,0,7.8292,queenstown
1,third,female,,1,0,15.5,queenstown
0,third,male,,0,0,7.7333,queenstown
0,third,male,,0,0,7.75,queenstown
0,third,male,,0,0,7.75,queenstown
0,third,male,23,0,0,9.225,southampton
0,third,female,,0,0,7.75,queenstown
1,third,female,,0,0,7.75,queenstown
1,third,female,,0,0,7.8792,queenstown
1,third,female,22,0,0,7.775,southampton
1,third,male,,0,0,7.75,queenstown
1,third,female,,0,0,7.8292,queenstown
1,third,male,9,0,1,3.1708,southampton
0,third,male,28,0,0,22.525,southampton
0,third,male,42,0,1,8.4042,southampton
0,third,male,,0,0,7.3125,southampton
0,third,female,31,0,0,7.8542,southampton
0,third,male,28,0,0,7.8542,southampton
1,third,male,32,0,0,7.775,southampton
0,third,male,20,0,0,9.225,southampton
0,third,female,23,0,0,8.6625,southampton
0,third,female,20,0,0,8.6625,southampton
0,third,male,20,0,0,8.6625,southampton
0,third,male,16,0,0,9.2167,southampton
1,third,female,31,0,0,8.6833,southampton
0,third,female,,0,0,7.6292,queenstown
0,third,male,2,3,1,21.075,southampton
0,third,male,6,3,1,21.075,southampton
0,third,female,3,3,1,21.075,southampton
0,third,female,8,3,1,21.075,southampton
0,third,female,29,0,4,21.075,southampton
0,third,male,1,4,1,39.6875,southampton
0,third,male,7,4,1,39.6875,southampton
0,third,male,2,4,1,39.6875,southampton
0,third,male,16,4,1,39.6875,southampton
0,third,male,14,4,1,39.6875,southampton
0,third,female,41,0,5,39.6875,southampton
0,third,male,21,0,0,8.6625,southampton
0,third,male,19,0,0,14.5,southampton
0,third,male,,0,0,8.7125,cherbourg
0,third,male,32,0,0,7.8958,southampton
0,third,male,0.75,1,1,13.775,southampton
0,third,female,3,1,1,13.775,southampton
0,third,female,26,0,2,13.775,southampton
0,third,male,,0,0,7,southampton
0,third,male,,0,0,7.775,southampton
0,third,male,,0,0,8.05,southampton
0,third,male,21,0,0,7.925,southampton
0,third,male,25,0,0,7.925,southampton
0,third,male,22,0,0,7.25,southampton
1,third,male,25,1,0,7.775,southampton
1,third,male,,1,1,22.3583,cherbourg
1,third,female,,1,1,22.3583,cherbourg
1,third,female,,0,2,22.3583,cherbourg
0,third,female,,0,0,8.1375,queenstown
0,third,male,24,0,0,8.05,southampton
0,third,female,28,0,0,7.8958,southampton
0,third,male,19,0,0,7.8958,southampton
0,third,male,,0,0,7.8958,southampton
0,third,male,25,1,0,7.775,southampton
0,third,female,18,0,0,7.775,southampton
1,third,male,32,0,0,8.05,southampton
0,third,male,,0,0,7.8958,southampton
0,third,male,17,0,0,8.6625,southampton
0,third,male,24,0,0,8.6625,southampton
0,third,male,,0,0,7.8958,southampton
0,third,female,,0,0,8.1125,southampton
0,third,male,,0,0,7.2292,cherbourg
0,third,male,,0,0,7.25,southampton
0,third,male,38,0,0,7.8958,southampton
0,third,male,21,0,0,8.05,southampton
0,third,male,10,4,1,29.125,queenstown
0,third,male,4,4,1,29.125,queenstown
0,third,male,7,4,1,29.125,queenstown
0,third,male,2,4,1,29.125,queenstown
0,third,male,8,4,1,29.125,queenstown
0,third,female,39,0,5,29.125,queenstown
0,third,female,22,0,0,39.6875,southampton
0,third,male,35,0,0,7.125,southampton
1,third,female,,0,0,7.7208,queenstown
0,third,male,,0,0,14.5,southampton
0,third,female,,0,0,14.5,southampton
0,third,male,50,1,0,14.5,southampton
0,third,female,47,1,0,14.5,southampton
0,third,male,,0,0,8.05,southampton
0,third,male,,0,0,7.775,southampton
0,third,female,2,1,1,20.2125,southampton
0,third,male,18,1,1,20.2125,southampton
0,third,female,41,0,2,20.2125,southampton
1,third,female,,0,0,8.05,southampton
0,third,male,50,0,0,8.05,southampton
0,third,male,16,0,0,8.05,southampton
1,third,male,,0,0,7.75,queenstown
0,third,male,,0,0,24.15,queenstown
0,third,male,,0,0,7.2292,cherbourg
0,third,male,25,0,0,7.225,cherbourg
0,third,male,,0,0,7.225,cherbourg
0,third,male,,0,0,7.7292,queenstown
0,third,male,,0,0,7.575,southampton
0,third,male,38.5,0,0,7.25,southampton
0,third,male,,8,2,69.55,southampton
0,third,male,14.5,8,2,69.55,southampton
0,third,female,,8,2,69.55,southampton
0,third,female,,8,2,69.55,southampton
0,third,female,,8,2,69.55,southampton
0,third,female,,8,2,69.55,southampton
0,third,male,,8,2,69.55,southampton
0,third,male,,8,2,69.55,southampton
0,third,male,,8,2,69.55,southampton
0,third,male,,1,9,69.55,southampton
0,third,female,,1,9,69.55,southampton
0,third,male,24,0,0,9.325,southampton
1,third,female,21,0,0,7.65,southampton
0,third,male,39,0,0,7.925,southampton
0,third,male,,2,0,21.6792,cherbourg
0,third,male,,2,0,21.6792,cherbourg
0,third,male,,2,0,21.6792,cherbourg
1,third,female,1,1,1,16.7,southampton
1,third,female,24,0,2,16.7,southampton
1,third,female,4,1,1,16.7,southampton
1,third,male,25,0,0,9.5,southampton
0,third,male,20,0,0,8.05,southampton
0,third,male,24.5,0,0,8.05,southampton
0,third,male,,0,0,7.725,queenstown
0,third,male,,0,0,7.8958,southampton
0,third,male,,0,0,7.75,queenstown
1,third,male,29,0,0,9.5,southampton
0,third,male,,0,0,15.1,southampton
1,third,female,,0,0,7.7792,queenstown
0,third,male,,0,0,8.05,southampton
0,third,male,,0,0,8.05,southampton
0,third,male,22,0,0,7.2292,cherbourg
0,third,male,,0,0,8.05,southampton
0,third,male,40,0,0,7.8958,southampton
0,third,male,21,0,0,7.925,southampton
1,third,female,18,0,0,7.4958,southampton
0,third,male,4,3,2,27.9,southampton
0,third,male,10,3,2,27.9,southampton
0,third,female,9,3,2,27.9,southampton
0,third,female,2,3,2,27.9,southampton
0,third,male,40,1,4,27.9,southampton
0,third,female,45,1,4,27.9,southampton
0,third,male,,0,0,7.8958,southampton
0,third,male,,0,0,8.05,southampton
0,third,male,,0,0,8.6625,southampton
0,third,male,,0,0,7.75,queenstown
1,third,female,,0,0,7.7333,queenstown
0,third,male,19,0,0,7.65,southampton
0,third,male,30,0,0,8.05,southampton
0,third,male,,0,0,8.05,southampton
0,third,male,32,0,0,8.05,southampton
0,third,male,,0,0,7.8958,southampton
0,third,male,33,0,0,8.6625,cherbourg
1,third,female,23,0,0,7.55,southampton
0,third,male,21,0,0,8.05,southampton
0,third,male,60.5,0,0,,southampton
0,third,male,19,0,0,7.8958,southampton
0,third,female,22,0,0,9.8375,southampton
1,third,male,31,0,0,7.925,southampton
0,third,male,27,0,0,8.6625,southampton
0,third,female,2,0,1,10.4625,southampton
0,third,female,29,1,1,10.4625,southampton
1,third,male,16,0,0,8.05,southampton
1,third,male,44,0,0,7.925,southampton
0,third,male,25,0,0,7.05,southampton
0,third,male,74,0,0,7.775,southampton
1,third,male,14,0,0,9.225,southampton
0,third,male,24,0,0,7.7958,southampton
1,third,male,25,0,0,7.7958,southampton
0,third,male,34,0,0,8.05,southampton
1,third,male,0.4167,0,1,8.5167,cherbourg
0,third,male,,1,0,6.4375,cherbourg
0,third,male,,0,0,6.4375,cherbourg
0,third,male,,0,0,7.225,cherbourg
1,third,female,16,1,1,8.5167,cherbourg
0,third,male,,0,0,8.05,southampton
0,third,male,,1,0,16.1,southampton
1,third,female,,1,0,16.1,southampton
0,third,male,32,0,0,7.925,southampton
0,third,male,,0,0,7.75,queenstown
0,third,male,,0,0,7.8958,southampton
0,third,male,30.5,0,0,8.05,southampton
0,third,male,44,0,0,8.05,southampton
0,third,male,,0,0,7.2292,cherbourg
1,third,male,25,0,0,0,southampton
0,third,male,,0,0,7.2292,cherbourg
1,third,male,7,1,1,15.2458,cherbourg
1,third,female,9,1,1,15.2458,cherbourg
1,third,female,29,0,2,15.2458,cherbourg
0,third,male,36,0,0,7.8958,southampton
1,third,female,18,0,0,9.8417,southampton
1,third,female,63,0,0,9.5875,southampton
0,third,male,,1,1,14.5,southampton
0,third,male,11.5,1,1,14.5,southampton
0,third,male,40.5,0,2,14.5,southampton
0,third,female,10,0,2,24.15,southampton
0,third,male,36,1,1,24.15,southampton
0,third,female,30,1,1,24.15,southampton
0,third,male,,0,0,9.5,southampton
0,third,male,33,0,0,9.5,southampton
0,third,male,28,0,0,9.5,southampton
0,third,male,28,0,0,9.5,southampton
0,third,male,47,0,0,9,southampton
0,third,female,18,2,0,18,southampton
0,third,male,31,3,0,18,southampton
0,third,male,16,2,0,18,southampton
0,third,female,31,1,0,18,southampton
1,third,male,22,0,0,7.225,cherbourg
0,third,male,20,0,0,7.8542,southampton
0,third,female,14,0,0,7.8542,southampton
0,third,male,22,0,0,7.8958,southampton
0,third,male,22,0,0,9,southampton
0,third,male,,0,0,8.05,southampton
0,third,male,,0,0,7.55,southampton
0,third,male,,0,0,8.05,southampton
0,third,male,32.5,0,0,9.5,southampton
1,third,female,38,0,0,7.2292,cherbourg
0,third,male,51,0,0,7.75,southampton
0,third,male,18,1,0,6.4958,southampton
0,third,male,21,1,0,6.4958,southampton
1,third,female,47,1,0,7,southampton
0,third,male,,0,0,8.7125,southampton
0,third,male,,0,0,7.55,southampton
0,third,male,,0,0,8.05,southampton
0,third,male,28.5,0,0,16.1,southampton
0,third,male,21,0,0,7.25,southampton
0,third,male,27,0,0,8.6625,southampton
0,third,male,,0,0,7.25,southampton
0,third,male,36,0,0,9.5,southampton
0,third,male,27,1,0,14.4542,cherbourg
1,third,female,15,1,0,14.4542,cherbourg
0,third,male,45.5,0,0,7.225,cherbourg
0,third,male,,0,0,7.225,cherbourg
0,third,male,,0,0,14.4583,cherbourg
0,third,female,14.5,1,0,14.4542,cherbourg
0,third,female,,1,0,14.4542,cherbourg
0,third,male,26.5,0,0,7.225,cherbourg
0,third,male,27,0,0,7.225,cherbourg
0,third,male,29,0,0,7.875,southampton
